iter	Passed	Remaining
447	1135	1398
448	1137	1395
449	1139	1392
450	1141	1389
451	1143	1386
452	1145	1383
453	1147	1380
454	1150	1377
455	1152	1374
456	1154	1371
457	1156	1368
458	1158	1365
459	1160	1362
460	1162	1359
461	1164	1356
462	1167	1353
463	1169	1350
464	1171	1347
465	1173	1344
466	1175	1341
467	1177	1338
468	1179	1335
469	1181	1332
470	1183	1329
471	1185	1326
472	1187	1323
473	1190	1320
474	1192	1317
475	1194	1314
476	1196	1311
477	1198	1308
478	1200	1305
479	1202	1302
480	1204	1299
481	1206	1297
482	1209	1294
483	1211	1291
484	1213	1288
485	1215	1285
486	1217	1282
487	1219	1279
488	1221	1276
489	1223	1273
490	1225	1270
491	1227	1267
492	1230	1265
493	1232	1262
494	1234	1259
495	1236	1256
496	1238	1253
497	1240	1250
498	1242	1247
499	1244	1244
500	1246	1241
501	1248	1238
502	1250	1235
503	1253	1233
504	1255	1230
505	1257	1227
506	1259	1224
507	1261	1221
508	1263	1218
509	1265	1215
510	1267	1212
511	1269	1209
512	1271	1207
513	1273	1204
514	1275	1201
515	1277	1198
516	1279	1195
517	1281	1192
518	1283	1189
519	1286	1187
520	1288	1184
521	1290	1181
522	1292	1178
523	1294	1175
524	1296	1173
525	1298	1170
526	1300	1167
527	1302	1164
528	1304	1161
529	1306	1158
530	1309	1156
531	1311	1153
532	1313	1150
533	1315	1147
534	1317	1145
535	1319	1142
536	1321	1139
537	1323	1136
538	1325	1134
539	1327	1131
540	1330	1128
541	1332	1125
542	1334	1122
543	1336	1119
544	1338	1117
545	1340	1114
546	1343	1112
547	1345	1109
548	1347	1106
549	1349	1104
550	1351	1101
551	1353	1098
552	1356	1096
553	1358	1093
554	1360	1090
555	1362	1087
556	1364	1085
557	1366	1082
558	1368	1079
559	1371	1077
560	1373	1074
561	1375	1071
562	1377	1069
563	1379	1066
564	1381	1063
565	1384	1061
566	1386	1058
567	1388	1056
568	1390	1053
569	1392	1050
570	1394	1047
571	1396	1045
572	1398	1042
573	1401	1039
574	1403	1037
575	1405	1034
576	1407	1031
577	1409	1029
578	1411	1026
579	1413	1023
580	1415	1021
581	1417	1018
582	1420	1015
583	1422	1013
584	1424	1010
585	1426	1007
586	1428	1005
587	1430	1002
588	1433	999
589	1435	997
590	1437	994
591	1439	992
592	1441	989
593	1443	986
594	1445	984
595	1447	981
596	1449	978
597	1451	976
598	1454	973
599	1456	970
600	1458	968
601	1460	965
